Название,Product ID,Productcat ID
Чистая звезда,c4eb2f93-2e80-b40f-534a-5cdbf40deebf,
Чистая звезда,dd6b4828-f168-de6c-618a-5d1df99dd4d0,
Чистая звезда,aac4052f-6e91-ac49-82ec-561e416b6375,
Чистая звезда,f49e0afc-7f10-0f82-65ad-59c0d1f0f155,
Чистая звезда,c4325d5e-cb8f-cc40-9391-5d25e0e5a74e,
Чистая звезда,61bc8282-c7ae-1474-a637-5cdbf6c4e0df,
Чистая звезда,a4bbb48c-c40b-c2bc-0898-67ee32dd04e8,
Чистая звезда,719a0541-3ddd-679e-4144-569cc162287b,
Чистая звезда,adbad639-ccde-217e-dd12-5cfa46786f82,
Чистая звезда,dbcdd783-bcf1-7f77-0907-6899b6e906d4,
ХПП,3ccd13a7-22bc-b757-4a9b-6697c35d8498,
ХПП,a6718461-347e-5064-2b58-66b0b865f603,
ХПП,755ad006-619e-4a46-6d29-667d1fe17338,
ХПП,ca53c834-762d-1342-f484-5e32813efd56,
ХПП,88f25af5-44d3-208c-7cc4-651d3d924492,
ХПП,7554cada-aacf-f6ef-fb31-52611d8928a4,
ХПП,f37e57f9-0bb0-df20-4a33-6628f2a91c63,
ХПП,c98950dd-4446-73a5-cf55-51011a845791,
ХПП,3405b1fe-750c-9b96-9084-5416b8870b20,
ХПП,8813d4d1-76ee-45f6-8527-6628f2fe31d1,
ХПП,69d18de8-e31f-edb5-86f8-65b33e6dbc88,
ХПП,3b9dfb12-62a5-9cb5-b5e6-660502efc84d,
ХПП,9a9e5a88-a9b2-329d-2eb1-5d5a4cbed7e6,
ХПП,c8190756-d6b0-3b72-5dbf-60acba24c3ea,
ХПП,2ec3315c-8966-1707-3b30-5c20b6160877,
ХПП,27ce0b4f-7322-7618-e913-658eb51778dd,
ХПП,c949063f-262a-9e40-9ab3-5e204f6bbad8,
ХПП,1f8f3ff8-55ee-909a-d057-5bf65b5fe31d,
ХПП,6630c2b1-4f05-ca2b-d703-611caef81d02,
ХПП,340c3294-7b63-0905-a404-677fc3f93784,
ХПП,c562c764-e2eb-40f8-978f-6654364aa77a,
ХПП,45866231-55e5-e0cf-fef2-56e402f12334,
ХПП,beadf62b-ad0c-6ff5-a71c-6135b557732f,
ХПП,c29d5636-139a-7a6f-1c3b-66b0b7192616,
ХПП,c9c49095-4bcb-409f-7352-6628f24f2153,
ХПП,d73f5e0d-35db-8c31-3766-5a4253c7ada3,
ХПП,3c2c0abe-fa9e-e4ef-9615-5e427137a213,
ХПП,cf6ce174-16c6-48f8-7333-6628f2add67d,
ХПП,2479d46d-5d80-3a79-5f5e-677fc306ee70,
